Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
EP1844790A2  EP1844790A3,Using a reverse genetic engineering platform to produce protein vaccinces and protein vaccine of avian influenza virus,2007-10-17  2007-11-14,LIAO CHAO-WEI [TW]  CHANG HSIU-KANG [TW]  HWANG KINKAI [US],European Patent Office (EPO),en,EP,HEALTHBANKS BIOTECH CO LTD [TW],38289973,using reverse genetic engineering platform produce protein vaccinces protein vaccine avian influenza virus
CN113862230A  CN113862230B,"Porcine pseudorabies virus gene deletion strain, vaccine composition and preparation method and use thereof",2021-12-31  2023-08-08,LI LING  ZHANG YANBIN  LI PENGYU  LIU XINYUE  ZHANG XIN  LI JING  HUANG SHULIN  ZHANG LEI  DONG CHUNNA  ZHANG TONG  XIAO JIN  QI PENG,China,en,CN,CHINA ANIMAL HUSBANDRY IND CO LTD,79001623,porcine pseudorabies virus gene deletion strain vaccine composition preparation method use thereof
CN100503827C  CN1948493A,Hepatitis B virus vaccine synergistic protein and its gene,2007-04-18  2009-06-24,ZHU NAISHUO LI [CN]  NAISHUO ZHU [CN]  HUAQING LI [CN]  MIN YANG [CN],China,en,CN,UNIV FUDAN [CN],38018117,hepatitis b virus vaccine synergistic protein gene
CN104387447A,DC cell-based hepatitis B virus T epitope peptide,04/03/2015,LUO JIN  YAN XIAOJUN,China,en,CN,JIANGSU ANTAE BIOGENE TECHNOLOGY CO LTD,52605419,dc cellbased hepatitis b virus epitope peptide
CN113980983A,Truncated hog cholera virus E2 gene and application thereof,28/01/2022,LIU HANPING  YUE FENGXIONG  ZHOU WEI  YUAN XUELIN  NIU YIFEI  DENG FEI,China,en,CN,CHENGDU SG BIOTECH CO LTD,79740021,truncated hog cholera virus e gene application thereof
WO2021217480A1,VIRUS ANTIGEN-IMMUNE COACTIVATOR-BASED BIMOLECULAR DNA VACCINE,04/11/2021,YU LI [US]  ZENG ZHEN [CN]  ZENG LIAN [CN]  ZHANG MEI [CN],World Intellectual Property Organization (WIPO),de,WO,SICHUAN CHENGYU BIOLOGICAL PRODUCTS INC [CN],78292155,virus antigenimmune coactivatorbased bimolecular dna vaccine
EP0839054A1  EP0839054A4  EP0839054B1,TISSUE OR CELL-SPECIFIC HERPES SIMPLEX VIRUS REPLICATION,1998-05-06  2002-04-17  2004-08-25,MARTUZA ROBERT L [US]  RABKIN SAMUEL D [US]  MIYATAKE SHIN-ICHI [JP],European Patent Office (EPO),de,EP,UNIV GEORGETOWN [US],23930788,tissue cellspecific herpes simplex virus replication
CN110831611A,Methods and compositions for modifying assembly-activating protein (APP)-dependence of viruses,21/02/2020,VANDENBERGHE LUK H  MAURER ANNA CLAIRE,China,en,CN,MASSACHUSETTS EYE & EAR INFIRMARY  THE SCHEPENS EYE RES INST INC,69547516,methods compositions modifying assemblyactivating protein appdependence viruses
CN116064425A,"TK gene-deleted recombinant porcine pseudorabies virus and infectious cloning system, construction method and application thereof",05/05/2023,WANG QI  ZHANG YU  JEONG HAE-HAK  CAO LIYAN  KONG XIANGYU  DUAN YUEYUE  YUAN CONG,China,en,CN,INST OF URBAN AGRICULTURE CHINESE ACADEMY OF AGRICULTURAL SCIENCES  LANZHOU VETERINARY RES INST CAAS,86181227,tk genedeleted recombinant porcine pseudorabies virus infectious cloning system construction method application thereof
US2007285843A1  US7393699B2,NANO-electronics,2007-12-13  2008-07-01,TRAN BAO Q [US],United States of America,ca,US,,38821690,nanoelectronics
CN104045709A  CN104045709B,Humanized neutralizing antibody A6 against avian influenza virus (AIV) H7N9 as well as preparation method and application thereof,2014-09-17  2017-05-24,CHEN ZHE  JIN QI,China,en,CN,INST PATHOGEN BIOLOGY CAMS,51499147,humanized neutralizing antibody avian influenza virus aiv hn well preparation method application thereof
CN1442479A,Mammalian engineering cell line for production of hantan virus granules,17/09/2003,LI DEXIN [CN]  LIANG MIFANG [CN]  LI CHUAN [CN],China,en,CN,INST OF VIROLOGY CHINESE ACADE [CN],27793123,mammalian engineering cell line production hantan virus granules
CN109879971A,TAT-CP recombinant protein resisting beta Nodavirus and application,14/06/2019,SUN JINSHENG  XUE SHUXIA  ZHANG YICHEN  WEI JUNLI,China,en,CN,UNIV TIANJIN,66935894,tatcp recombinant protein resisting beta nodavirus application
CN112325431A  CN112325431B,Movable purification device comprising heating filter for killing biological species comprising COVID-19,2021-02-05  2023-04-25,MONZEL A HULANI,China,en,CN,COMPREHENSIVE VIRUS PROT SOLUTIONS CO LTD,74303314,movable purification device comprising heating filter killing biological species comprising covid
EP1331271A1  EP1331271A4  EP1331271B1,"THE POLYPEPTIDE FRAGMENTS OF HEPATITIS E VIRUS, THE VACCINE COMPOSITION COMPRISING SAID FRAGMENTS AND THE DIAGNOSTIC KITS",2003-07-30  2005-04-06  2014-03-19,XIA NINGSHAO [CN]  ZHANG JUN [CN]  LI SHAOWEI [CN]  GE SHENGXIANG [CN]  GU YING [CN]  HE ZHIGIANG [CN],European Patent Office (EPO),de,EP,YANG SHENG TANG CO LTD [CN]  BEIJING WANTAI BIOLOGICAL PHARMACY ENTPR CO LTD [CN]  UNIV XIAMEN [CN],4594225,polypeptide fragments hepatitis e virus vaccine composition comprising said fragments diagnostic kits
CN115820572A,Recombinant virus strain for expressing double-copy Lassa fever virus GP gene as well as construction method and application of recombinant virus strain,21/03/2023,YAN FEIHU  ZHAO YONGKUN  FENG NA  WANG TIECHENG  BI JINHAO  LI ENTAO  YANG SONGTAO  XIA XIANZHU,China,en,CN,INST OF MILITARY VETERINARY MEDICINE ACADEMY OF MILITARY SCIENCES,85523609,recombinant virus strain expressing doublecopy lassa fever virus gp gene well construction method application recombinant virus strain
WO9918227A1,CHIMERIC PARVOVIRUS-BASED RECOMBINANT VECTOR SYSTEM THAT SPECIFICALLY TARGETS THE ERYTHROID LINEAGE,15/04/1999,SRIVASTAVA ARUN [US]  PONNAZHAGAN SELVARANGAN [US],World Intellectual Property Organization (WIPO),en,WO,ADVANCED RES & TECH INST [US]  SRIVASTAVA ARUN [US]  PONNAZHAGAN SELVARANGAN [US],22035328,chimeric parvovirusbased recombinant vector system specifically targets erythroid lineage
CN104628871A  CN104628871B,Preparation of infectious bursal disease (IBD) protein engineering vaccine,2015-05-20  2018-01-26,LI DIANMING  PU QIN  ZHANG YUJIN  QI CHUNMEI  TIAN CHUNHUI  LIU TIANTIAN  REN BAILIANG  ZHANG DAOCHUN  DANG JIANGJIANG  WU QIFAN,China,en,CN,GUANGZHOU PUTAI BIOTECHNOLOGY CO LTD,53208150,preparation infectious bursal disease ibd protein engineering vaccine
CN108118070A,Slow virus preparation method,05/06/2018,YANG YONGKUN  ZHAO JIU  WANG YUYU,China,en,CN,NANJING IASO BIOTHERAPEUTICS TECH CO LTD,62232858,slow virus preparation method
CA3023972A1,ONCOLYTIC VIRUSES COMPRISING ESRAGE AND METHODS OF TREATING CANCER,16/11/2017,KAUR BALVEEN [US]  YOO JI YOUNG [US],Canada,de,CA,OHIO STATE INNOVATION FOUNDATION [US],60266890,oncolytic viruses comprising esrage methods treating cancer
EP3027755A1  EP3027755A4  EP3027755B1,ENGINEERING ANTIVIRAL T CELL IMMUNITY THROUGH STEM CELLS AND CHIMERIC ANTIGEN RECEPTORS,2016-06-08  2017-01-18  2019-10-09,KITCHEN SCOTT G [US]  ZACK JEROME A [US]  YANG OTTO O [US]  CHEN IRVIN [US]  KAMATA MASAKAZU [US],European Patent Office (EPO),en,EP,UNIV CALIFORNIA [US],52432455,engineering antiviral cell immunity stem cells chimeric antigen receptors
CN102732521A  CN102732521B,Constitutive expression promoter of tomato yellow leaf curl China virus satellite,2012-10-17  2014-03-26,YAJUAN QIAN  JIE ZHANG  XUEPING ZHOU  JIANXIANG WU  QIAN YAJUAN  ZHANG JIE  ZHOU XUEPING  WU JIANXIANG,China,en,CN,UNIV ZHEJIANG,46988823,constitutive expression promoter tomato yellow leaf curl china virus satellite
CN104745606A,Coxsackie A16 type virus-like particles,01/07/2015,XU DAN  CHEN MINGJIE  TONG XIN  TIAN PINGSHENG  WANG ZILONG,China,en,CN,SHANGHAI ZERUN BIOTECHNOLOGY CO LTD,53585864,coxsackie type viruslike particles
EP3382395A1  EP3382395A4  EP3382395B1,VARICELLA ZOSTER,2018-10-03  2018-10-31  2021-04-21,SUZUKI KEITA [JP]  IWAMOTO HISAHIKO [JP]  MOCHIZUKI HIROKO [JP],European Patent Office (EPO),de,EP,TANAKA PRECIOUS METAL IND [JP],58763791,varicella zoster
EP0905140A1  EP0905140A4  EP0905140B1  EP0905140B9,"NOVEL FUSED PROTEIN, GENE THEREFOR, RECOMBINANT VECTOR, RECOMBINANT VIRUS, AND ITS USE",1999-03-31  2000-12-06  2008-09-10  2009-05-13,SAITO SHUJI [JP]  TSUZAKI YOSHINARI [JP]  YANAGIDA NOBORU [JP],European Patent Office (EPO),de,EP,NIPPON ZEON CO [JP]  ZEON CORP [JP],14356886,novel fused protein gene therefor recombinant vector recombinant virus use
CN117720649A,抗H9亚型禽流感病毒的纳米抗体及其表达工程菌株与制备方法,19/03/2024,,China,zh-cn,CN,,90200705,h
CN116375818A,Construction and application of recombinant H5N8 subtype avian influenza virus carrying mApple fluorescence reporter gene,04/07/2023,DAI MANMAN  CHEN XIYUE  SONG WEI  LIAO MING  ZHAO LI,China,en,CN,UNIV SOUTH CHINA AGRICULT,86972156,construction application recombinant hn subtype avian influenza virus carrying mapple fluorescence reporter gene
CN111662885A,"Infectious clone construction, rescuing and application of two porcine reproductive and respiratory syndrome virus intensity strains highly homologous in genomes",15/09/2020,CHEN NANHUA  YE MENGXUE  ZHU JIANZHONG,China,en,CN,UNIV YANGZHOU,72389266,infectious clone construction rescuing application two porcine reproductive respiratory syndrome virus intensity strains highly homologous genomes
EP3182234A1  EP3182234B1,"CONTROL DEVICE, INTEGRATED INDUSTRIAL SYSTEM, AND CONTROL METHOD THEREOF",2017-06-21  2020-03-11,OGAWA TOSHIKI [JP]  SUZUKI KAZUYA [JP]  YAMASHIRO YASUHIKO [JP]  FUJITA SHO [JP]  HASEGAWA KENJI [JP]  KEMMOTSU TARO [JP]  KADOWAKI YUICHIRO [JP],European Patent Office (EPO),en,EP,YOKOGAWA ELECTRIC CORP [JP],57799432,control device integrated industrial system control method thereof
RU2017144749A  RU2017144749A3  RU2694717C2,METHOD OF PRODUCING RECOMBINANT VP3 VIRUS OF INFECTIOUS BURSAL DISEASE,2019-06-19  2019-07-16,SHIROKOV DMITRIJ ALEKSEEVICH [RU]  MANUVERA VALENTIN ALEKSANDROVICH [RU]  DUBOVOJ ALEKSANDR SERGEEVICH [RU]  SAMUSEVA GALINA NIKOLAEVNA [RU]  DMITRIEVA MARGARITA EVGENEVNA [RU]  LAZAREV VASILIJ NIKOLAEVICH [RU],Russia,de,RU,FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE NAUCHNOE UCHREZHDENIE FEDERALNYJ NAUCHNYJ TSENTR VSEROSSIJSKI [RU],66947362,method producing recombinant vp virus infectious bursal disease
CN114591995A,Recombinant bovine ephemeral fever virus glycoprotein lactococcus lactis vector as well as construction method and application thereof,07/06/2022,WANG XIAOHU  WANG YANYUN  ZHANG PIAN  CHEN JING  XIANG HUA  HUANG YUAN  WANG GANG,China,en,CN,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES INST OF ANIMAL HEALTH,81808207,recombinant bovine ephemeral fever virus glycoprotein lactococcus lactis vector well construction method application thereof
CN101205539A  CN101205539B,Highly pathogenic PRRS virus recombinant plasmid and genetic engineering vaccines,2008-06-25  2010-11-24,SHISHAN YUAN [CN]  JIAN LU [CN]  XIANGJIAN LI [CN]  JIANWU ZHANG [CN]  DANDAN YU [CN]  ZHI SUN [CN]  FEI GAO [CN]  ZUZHANG WEI [CN]  JINSHAN ZHUANG [CN]  TAO TAN [CN]  HAIHONG ZHENG [CN]  FEIFEI TAN [CN]  CHANGLONG LIU [CN]  JIAQI LU [CN]  YANFANG CONG [CN]  XIAOMIN WANG [CN]  HAO ZHENG [CN]  CHANGLONG LIU  JINSHAN ZHUANG  DANDAN YU  YANFANG CONG  ZUZHANG WEI  JIAQI LU  TAO TAN  JIAN LU  SHISHAN YUAN  JIANWU ZHANG  HAO ZHENG  XIANGJIAN LI  FEI GAO  HAIHONG ZHENG  XIAOMIN WANG  ZHI SUN  FEIFEI TAN,China,en,CN,SHANGHAI VETERINARY RES INST C [CN]  SHANGHAI VETERINARY RES INST CAAS,39566023,highly pathogenic prrs virus recombinant plasmid genetic engineering vaccines
CN110144006A  CN110144006B,Anti-H7N9 avian influenza virus hemagglutinin protein monoclonal antibody ZJU79-02 and application thereof,2019-08-20  2020-11-13,WU HAIBO  WU NANPING  YAO HANGPING  YANG FAN,China,en,CN,THE FIRST AFFILIATED HOSPITAL COLLEGE OF MEDICINE ZHEJIANG UNIV,67592305,antihn avian influenza virus hemagglutinin protein monoclonal antibody zju application thereof
CN111154733A,Pseudorabies virus weak strain as well as application,15/05/2020,LI SHOUJUN  SUN YANGYANG  ZHANG XUEXIAN  XIN BO  CHE YANJIE,China,en,CN,TIANJIN RINGPU BIOTECHNOLOGY CO LTD,70562020,pseudorabies virus weak strain well application
CA2085897A1,NONPATHOGENIC VARIANT VIRUS,20/12/1991,PIECZENIK GEORGE [US]  SCOLARO MICHAEL [US]  DURHAM ROY [US],Canada,vi,CA,IMMUVAX [US],27066463,nonpathogenic variant virus
CN110042087A,Recombinant rabies virus rHEP-Delta G-EGFP and application thereof,23/07/2019,LUO YONGWEN  BI SHUILIAN  LIANG JIAQI  ZENG XIAOLING  LONG JIAHUI  PAN YUQING  GUO XIAOFENG,China,en,CN,UNIV SOUTH CHINA AGRICULT,67274934,recombinant rabies virus rhepdelta gegfp application thereof
JP2013188210A  JP5829228B2,"FACTOR INVOLVED IN LATENT INFECTION OF HERPES VIRUS, AND USE THEREOF",2013-09-26  2015-12-09,KONDO KAZUHIRO  KOBAYASHI NOBUYUKI,Japan,en,JP,VIRUS IKAGAKU KENKYUSHO INC,40511384,factor involved latent infection herpes virus use thereof
WO2013017272A1,METHOD FOR PURIFYING VIRUS-LIKE PARTICLES (VLP),07/02/2013,DEMINA VICTORIA [DE]  MANNINGA HEIKO [DE],World Intellectual Property Organization (WIPO),de,WO,LIFE SCIENCE INKUBATOR BETR S GMBH & CO KG [DE]  DEMINA VICTORIA [DE]  MANNINGA HEIKO [DE],46796518,method purifying viruslike particles vlp
CN100404549C  CN1872874A,Method for preparing capsid protein ú¿VPú®of enteric cytopathogenic human orphan virus 30,2006-12-06  2008-07-23,ZHOU LINFU CHEN [CN]  LINFU ZHOU [CN]  FENG CHEN [CN]  HAIHONG ZHU [CN]  ZHI CHEN [CN],China,en,CN,UNIV ZHEJIANG [CN],37483491,method preparing capsid protein vpof enteric cytopathogenic human orphan virus
US2016360756A1  US9783435B2,"METHOD FOR BACTERIA CONTROL, METHOD FOR FUNGI CONTROL, METHOD FOR VIRUS CONTROL, METHOD FOR PREVENTING ENCRUSTATION ON SURFACES AND METHOD FOR PREVENTING CORROSION ON SURFACES",2016-12-15  2017-10-10,PENGO EDSON RENATO [BR]  VERMELHO ALANE BEATRIZ [BR]  FERREIRA DAVIS FERNANDES [BR]  FERREIRA DONEIVAN FERNANDES [BR]  VENÂNCIO FABRÍCIO DE QUEIROZ [BR]  BATOCCHIO MARCELO ADRIANO PAVANELLI [BR],United States of America,de,US,PENGO EDSON RENATO [BR]  APPLIED BIO PESQUISA E SERVICOS EM BIOTECNOLOGIA LTDA [BR]  EDSON RENATO PENGO [BR],57515595,method bacteria control method fungi control method virus control method preventing encrustation surfaces method preventing corrosion surfaces
EP3269727A1  EP3269727A4  EP3269727B1,ANTI-HEPATITIS B VIRUS X PROTEIN POLYPEPTIDE PHARMACEUTICAL,2018-01-17  2018-07-25  2020-07-08,ZHANG XIAODONG [CN]  YE LIHONG [CN],European Patent Office (EPO),vi,EP,TIANJIN TOPTECH BIO-SCIENCE&TECHNOLOGY CO LTD [CN]  TIANJIN TOPTECH BIO SCIENCE&TECHNOLOGY CO LTD [CN]  TIANJIN TOPTECH BIO SCIENCE & TECH CO LTD [CN],53584887,antihepatitis b virus x protein polypeptide pharmaceutical
CN102139104A,"Production method for triple inactivated vaccine for newcastle disease, avian influenza (H9 subtype) and infectious bursal disease",03/08/2011,XIAO GONG  LUMEI LI  CHANGYOU LI  HONG WANG  BAOJUAN XU,China,en,CN,YEBIO BIOENG CO LTD QINGDAO,44407044,production method triple inactivated vaccine newcastle disease avian influenza h subtype infectious bursal disease
CN104045711A  CN104045711B,Humanized neutralizing antibody B5 against avian influenza virus (AIV) H7N9 as well as preparation method and application thereof,2014-09-17  2016-08-17,CHEN ZHE  JIN QI,China,en,CN,INST PATHOGEN BIOLOGY CAMS,51499149,humanized neutralizing antibody b avian influenza virus aiv hn well preparation method application thereof
CN101560518A,Membrane protein gene of chicken infective bronchitis virus and clone method thereof,21/10/2009,XIUYUAN HE [CN]  SHUXIA ZHANG [CN]  YUFENG LI [CN]  ENQI DU [CN]  PEI CUI [CN]  JUNTAO ZHANG [CN]  ZHIPING ZHANG [CN]  BAOAN CUI [CN]  MINGFAN YANG [CN]  HONGYING CHEN [CN]  LIXIN DENG [CN]  CONG HE [CN]  HAIJU DONG [CN]  ZONGXI TONG [CN]  HUIRU ZHANG [CN]  YANJIE BAI [CN]  SENYA AN [CN]  CUIJUAN ZHU [CN]  WEI YUAN [CN]  XIAOBO LI [CN],China,en,CN,UNIV HENAN AGRICULTURAL [CN],41219494,membrane protein gene chicken infective bronchitis virus clone method thereof
CN102994458A  CN102994458B,"Porcine pseudorabies virus virulent strain, and gene deletion vaccine strain thereof and applications thereof",2013-03-27  2014-04-02,TIAN ZHIJUN  PENG JINMEI  AN TONGQING,China,en,CN,HARBIN VET RES INST CAAS,47923571,porcine pseudorabies virus virulent strain gene deletion vaccine strain thereof applications thereof
CN100401067C  CN1548958A,B type hepatitis virus antibody bridge type double-antigen sandwich ELISA detecting method,2004-11-24  2008-07-09,LI CHENYANG [CN]  LI YULIN [CN]  CHENYANG LI [CN]  YULIN LI [CN],China,en,CN,LI CHENYANG [CN]  CHENYANG LI [CN],34321871,b type hepatitis virus antibody bridge type doubleantigen sandwich elisa detecting method
CN112251540A  CN112251540B,African swine fever virus lighting RNA probe detection kit and preparation method and application thereof,2021-01-22  2023-06-13,HAN CHENGCHENG  GONG RUYING  WU XUHAN  XIA KAI  LIANG XINLE  ZHOU LINAN  FENG WEI  LIU YE,China,en,CN,UNIV ZHEJIANG GONGSHANG  ZHEJIANG WUWEIHE FOOD CO LTD,74234304,african swine fever virus lighting rna probe detection kit preparation method application thereof
WO9306214A1,CHIMERIC AND/OR GROWTH-RESTRICTED FLAVIVIRUSES,01/04/1993,LAI CHING-JUH [US]  BRAY MICHAEL [US]  PLETNEV ALEXANDER G [US]  MEN RUHE [US]  PETHEL MICHELE [US],World Intellectual Property Organization (WIPO),de,WO,US HEALTH [US],27116947,chimeric andor growthrestricted flaviviruses
CN1331289A,Expression in synergistic protein in prokaryotic organism and its application,16/01/2002,MENG XIAOLIN [CN]  XU JINPING [CN],China,en,CN,UNIV WUHAN [CN],4584314,expression synergistic protein prokaryotic organism application
US2023018373A1,AUTOMATED PRODUCTION OF VIRAL VECTORS,19/01/2023,DIMITRIADOU EVLAMPIA [GB]  HEWITT MATTHEW [US]  RACHER ANDREW [GB],United States of America,de,US,LONZA WALKERSVILLE INC [US]  LONZA SALES AG [CH],74191886,automated production viral vectors
CN115724933A  CN115724933B,Tobacco NbTUA gene and application thereof in inhibition of virus movement,2023-03-03  2023-11-14,WANG FANG  WANG HAOJUN  YAN DANKAN  CHEN YING  HAN KELEI  MA CHAO,China,en,CN,PLANT PROT & QUALITY & SAFETY AGRICULTURAL PROD INST ANHUI ACADEMY AGRICULTURAL SCI,85294746,tobacco nbtua gene application thereof inhibition virus movement
CN1082825A,Production of microbial protein feeding stuff (MPF) by use of soy sauce-and vinegar-residue,02/03/1994,YAPING JIANG [CN],China,en,CN,WUHAN VIRUS INST CHINESE ACADE [CN],4941437,production microbial protein feeding stuff mpf use soy sauceand vinegarresidue
CN116426568A,MDCK-21 cell clone strain and method for culturing H9 subtype avian influenza virus by using MDCK-21 cell clone strain,14/07/2023,LI JIXUAN  YUAN YE  ZHOU LEILEI  ZHANG XIUMEI  YUE JIANXIN  SUN LINGRUI  CHEN QIUGE  ZHU HAOMIN  SHI YAJUAN  LIU LI  FENG SULAN  TONG LIN  LI HAOPENG,China,en,CN,QYH BIOTECH CO LTD,87089577,mdck cell clone strain method culturing h subtype avian influenza virus using mdck cell clone strain
EP3420093A1  EP3420093B1,MICELLE BASED SYSTEM NUCLEASE ENCAPSULATION FOR IN-VIVO GENE EDITING,2019-01-02  2022-11-23,DUCHATEAU PHILIPPE [FR]  ZENNOU VERONIQUE [US],European Patent Office (EPO),de,EP,CELLECTIS [FR],55456537,micelle based system nuclease encapsulation invivo gene editing
